STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
ANDHRA PRADESH,2007,BURGLARY,0,0,0,27,0,27,16,0,16,8,0,8,51,0,51
ANDHRA PRADESH,2007,THEFTS,0,0,0,206,2,208,178,5,183,26,1,27,410,8,418
ANDHRA PRADESH,2007,EXTORTION,0,0,0,7,0,7,5,0,5,0,0,0,12,0,12
ANDHRA PRADESH,2007,RIOTS,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6
ANDHRA PRADESH,2007,ARSON,0,0,0,1,0,1,4,0,4,1,0,1,6,0,6
ANDHRA PRADESH,2007,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,0,0,0,4,0,4,5,0,5
ANDHRA PRADESH,2007,CHEATING,0,0,0,10,0,10,11,4,15,5,0,5,26,4,30
ANDHRA PRADESH,2007,COUNTER FEITING,0,0,0,6,1,7,5,0,5,1,0,1,12,1,13
ANDHRA PRADESH,2007,DOWRY DEATHS,0,0,0,34,8,42,51,5,56,8,0,8,93,13,106
ANDHRA PRADESH,2007,MOLESTATION,0,0,0,28,0,28,28,0,28,11,0,11,67,0,67
ANDHRA PRADESH,2007,EVE-TEASING,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
